ID,Airline,Airplane Model,Origin,Destination,Passengers,Ticket Cost,Minutes,Distance (km),Date,Flight Type,Pilot Name,Revenue(Without Discounts),Departure Time,Arrival Time,Flight Status,Fuel Consumption (liters),CO2 Emissions (kg),Load Factor (%),Delay Minutes,Fuel Type, Service Class, Delay Reason,Fuel Cost (liter),Total Fuel Cost,Pilot Payment (Hour),Total Pilot Payment ,Maintenance Cost,Airport Fees,Insurance Cost,Total Costs,Total Revenue,Unnamed: 32,Unnamed: 33,Results,Unnamed: 35
395,Air France,Airbus A350-900,CDG,JFK,301,1270.5,420,3630,2025-08-04,International,Capt. Sophie Laurent,301000,15:50:00,21:50:00,Delayed,32000,83200,90,25,Jet A-1,Premium Economy,Weather,2.2,70400.0,120,840,250,1600,500,73590.0,227410.0,,,,
396,JetBlue,Airbus A220-300,JFK,DCA,120,115.49999999999999,50,330,2025-08-05,Domestic,Capt. Daniel White,13800,08:40:00,09:30:00,Completed,2500,6500,82,0,Jet A,Economy,-,2.2,5500.0,120,100,190,750,500,7040.0,6760.0,,,,
397,Cathay Pacific,Airbus A350-1000,HKG,SFO,369,5182.5,840,6910,2025-08-06,International,Capt. Emily Wong,479700,10:15:00,01:15+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,389220.0,,,,
398,Frontier Airlines,Airbus A319-100,DEN,ATL,156,336.0,120,960,2025-08-07,Domestic,Capt. Kevin Taylor,14820,17:30:00,19:30:00,Completed,7500,19500,87,0,Jet A,Economy,-,2.2,16500.0,120,240,190,750,500,18180.0,-3360.0,,,,
399,Qatar Airways,Boeing 777-300ER,DOH,JFK,312,4140.0,660,5520,2025-08-08,International,Capt. Ali Al-Mansoori,468000,02:15:00,14:15:00,Completed,43000,111800,93,0,Jet A-1,First Class,-,2.2,94600.00000000001,120,1320,900,1600,500,98920.00000000001,369080.0,,,,
400,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-08-09,International,Capt. Juan RodrÃ­guez,57420,09:45:00,12:45:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,22810.0,,,,
401,Air Canada,Airbus A330-300,YUL,YYZ,124,105.0,60,300,2025-08-10,Domestic,Capt. Sarah Johnson,21700,11:50:00,12:50:00,Completed,4500,11700,81,0,Jet A,Economy,-,2.2,9900.0,120,120,190,750,500,11460.0,10240.0,,,,
402,Ryanair,Boeing 737-800,STN,DUB,189,164.5,90,470,2025-08-11,International,Capt. Sean Murphy,11340,19:45:00,21:15:00,Completed,7500,19500,93,0,Jet A,Economy,-,2.2,16500.0,120,180,190,1600,500,18970.0,-7630.0,,,,
403,ANA,Boeing 787-9,HND,LAX,248,2735.0,780,5470,2025-08-12,International,Capt. Kenji Sato,272800,14:15:00,06:15+1,Completed,29000,75400,89,0,Jet A-1,Business,-,2.2,63800.00000000001,120,1560,520,1600,500,67980.0,204820.0,,,,
404,Hawaiian Airlines,Airbus A330-200,HNL,LAX,278,892.5,300,2550,2025-08-13,Domestic,Capt. Leilani Koa,108420,08:50:00,13:50:00,Completed,19500,50700,85,0,Jet A,Premium Economy,-,2.2,42900.0,120,600,250,750,500,45000.0,63420.0,,,,
405,KLM,Boeing 787-10,AMS,SFO,293,2685.0,660,5370,2025-08-14,International,Capt. Pieter Van Dijk,351600,12:45:00,02:45+1,Completed,34000,88400,91,0,Jet A-1,Business,-,2.2,74800.0,120,1320,520,1600,500,78740.0,272860.0,,,,
406,Azul Brazilian Airlines,Embraer E195,CNF,GRU,124,140.0,70,400,2025-08-15,Domestic,Capt. Thiago Silva,21080,15:45:00,16:55:00,Completed,4500,11700,82,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,9600.0,,,,
407,Etihad Airways,Airbus A380-800,AUH,CDG,489,2550.0,420,3400,2025-08-16,International,Capt. Omar Khan,709050,04:15:00,12:15:00,Cancelled,48000,124800,95,-,Jet A-1,First Class,Technical Issues,2.2,105600.00000000001,120,840,900,1600,500,109440.00000000001,599610.0,,,,
408,Allegiant Air,Airbus A320-200,SFB,PIE,186,59.49999999999999,45,170,2025-08-17,Domestic,Capt. Lisa Brown,14880,16:45:00,17:30:00,Completed,3500,9100,94,0,Jet A,Economy,-,2.2,7700.000000000001,120,90,190,750,500,9230.0,5650.0,,,,
409,Virgin Atlantic,Airbus A350-1000,LHR,LAX,301,4080.0,660,5440,2025-08-18,International,Capt. Emma Wilson,406350,19:15:00,08:15+1,Completed,35000,91000,90,0,Jet A-1,First Class,-,2.2,77000.0,120,1320,900,1600,500,81320.0,325030.0,,,,
410,IndiGo,Airbus A320neo,DEL,BOM,180,402.5,90,1150,2025-08-19,Domestic,Capt. Arjun Patel,14040,07:35:00,09:05:00,Delayed,6500,16900,93,15,Jet A,Economy,Technical Issues,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1880.0000000000018,,,,
411,Delta Air Lines,Boeing 737-900,ATL,MCO,178,224.0,90,640,2025-08-20,Domestic,Capt. Robert Harris,34710,08:05:00,09:35:00,Completed,5800,15080,88,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,20330.0,,,,
412,Emirates,Airbus A380-800,DXB,JFK,489,8265.0,780,11020,2025-08-21,International,Capt. Aisha Al-Mansoori,684600,22:45:00,11:45+1,Completed,52000,135200,95,0,Jet A-1,First Class,-,2.2,114400.00000000001,120,1560,900,1600,500,118960.00000000001,565640.0,,,,
413,Southwest Airlines,Boeing 737 MAX 8,DAL,HOU,143,136.5,45,390,2025-08-22,Domestic,Capt. James Wilson,16874,08:55:00,09:40:00,Completed,3200,8320,88,0,Jet A,Economy,-,2.2,7040.000000000001,120,90,190,750,500,8570.0,8304.0,,,,
414,Lufthansa,Boeing 747-8,FRA,ORD,365,3380.0,540,6760,2025-08-23,International,Capt. Klaus Fischer,354050,14:05:00,23:05:00,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,266750.0,,,,
415,Volaris,Airbus A320neo,MEX,CUN,180,280.0,90,800,2025-08-24,Domestic,Capt. Carlos MÃ©ndez,33300,12:50:00,14:20:00,Completed,7800,20280,94,0,Jet A,Economy,-,2.2,17160.0,120,180,190,750,500,18780.0,14520.0,,,,
416,Qantas,Boeing 787-9,SYD,LAX,285,2618.0,840,7480,2025-08-25,International,Capt. Olivia Smith,327750,09:20:00,22:20:00,Completed,31000,80600,91,0,Jet A-1,Premium Economy,-,2.2,68200.0,120,1680,250,1600,500,72230.0,255520.0,,,,
417,American Airlines,Boeing 777-300ER,DFW,HNL,312,1890.0,540,3780,2025-08-26,Domestic,Capt. David Lee,221520,10:35:00,19:35:00,Completed,34000,88400,89,0,Jet A-1,Business,-,2.2,74800.0,120,1080,520,750,500,77650.0,143870.0,,,,
418,AirAsia,Airbus A320-200,KUL,SIN,186,115.49999999999999,45,330,2025-08-27,International,Capt. Wei Chen,14508,16:35:00,17:20:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,90,190,1600,500,12280.0,2228.0,,,,
419,United Airlines,Boeing 767-400,ORD,MIA,214,665.0,180,1900,2025-08-28,Domestic,Capt. Emily Johnson,63130,13:55:00,16:55:00,Completed,16500,42900,82,0,Jet A,Economy,-,2.2,36300.0,120,360,190,750,500,38100.0,25030.0,,,,
420,Singapore Airlines,Airbus A350-900,SIN,LHR,301,5070.0,780,6760,2025-08-29,International,Capt. Raj Patel,406350,23:50:00,06:50+1,Completed,29000,75400,90,0,Jet A-1,First Class,-,2.2,63800.00000000001,120,1560,900,1600,500,68360.0,337990.0,,,,
421,Alaska Airlines,Boeing 737-900,SEA,ANC,178,503.99999999999994,180,1440,2025-08-30,Domestic,Capt. Laura Adams,36490,06:10:00,09:10:00,Completed,9500,24700,81,0,Jet A,Economy,-,2.2,20900.0,120,360,190,750,500,22700.0,13790.0,,,,
422,Japan Airlines,Boeing 787-8,HND,SYD,242,1704.5,840,4870,2025-08-31,International,Capt. Hiroshi Tanaka,261360,18:30:00,08:30+1,Completed,26000,67600,85,0,Jet A-1,Premium Economy,-,2.2,57200.00000000001,120,1680,250,1600,500,61230.00000000001,200130.0,,,,
423,Spirit Airlines,Airbus A321-200,FTL,ATL,235,336.0,90,960,2025-09-01,Domestic,Capt. Brian Miller,20680,11:30:00,13:00:00,Completed,11000,28600,89,0,Jet A,Economy,-,2.2,24200.000000000004,120,180,190,750,500,25820.000000000004,-5140.000000000004,,,,
424,Turkish Airlines,Boeing 777-300,IST,JFK,342,2505.0,540,5010,2025-09-02,International,Capt. Mehmet YÄ±lmaz,300960,15:50:00,00:50+1,Completed,36000,93600,88,0,Jet A-1,Business,-,2.2,79200.0,120,1080,520,1600,500,82900.0,218060.0,,,,
425,Air France,Airbus A330-200,CDG,DTW,267,1347.5,480,3850,2025-09-03,International,Capt. Sophie Laurent,181560,12:25:00,19:25:00,Completed,28000,72800,84,0,Jet A-1,Premium Economy,-,2.2,61600.00000000001,120,960,250,1600,500,64910.00000000001,116650.0,,,,
426,JetBlue,Airbus A220-300,JFK,BOS,120,105.0,40,300,2025-09-04,Domestic,Capt. Daniel White,15360,07:40:00,08:20:00,Completed,2800,7280,83,0,Jet A,Economy,-,2.2,6160.000000000001,120,80,190,750,500,7680.000000000001,7679.999999999999,,,,
427,Cathay Pacific,Airbus A350-1000,HKG,LAX,369,5182.5,840,6910,2025-09-05,International,Capt. Emily Wong,472320,10:40:00,01:40+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,381840.0,,,,
428,Frontier Airlines,Airbus A319-100,DEN,PHX,156,210.0,90,600,2025-09-06,Domestic,Capt. Kevin Taylor,14352,14:50:00,16:20:00,Completed,6500,16900,87,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1568.0000000000018,,,,
429,Qatar Airways,Boeing 777-200LR,DOH,IAH,312,5400.0,840,7200,2025-09-07,International,Capt. Ali Al-Hashimi,443040,02:30:00,15:30:00,Completed,42000,109200,91,0,Jet A-1,First Class,-,2.2,92400.00000000001,120,1680,900,1600,500,97080.00000000001,345960.0,,,,
430,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-09-08,International,Capt. Juan RodrÃ­guez,54810,09:20:00,12:20:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,20200.0,,,,
431,Delta Air Lines,Boeing 737-800,ATL,TPA,162,157.5,80,450,2025-09-09,Domestic,Capt. Robert Harris,29970,06:45:00,08:05:00,Completed,5000,13000,91,0,Jet A,Economy,-,2.2,11000.0,120,160,190,750,500,12600.0,17370.0,,,,
432,Emirates,Airbus A380-800,DXB,SYD,489,5940.0,840,7920,2025-09-10,International,Capt. Aisha Al-Mansoori,757950,02:00:00,18:00:00,Completed,58000,150800,95,0,Jet A-1,First Class,-,2.2,127600.00000000001,120,1680,900,1600,500,132280.0,625670.0,,,,
433,Southwest Airlines,Boeing 737-700,DAL,AUS,143,66.5,30,190,2025-09-11,Domestic,Capt. Ryan Garcia,15015,12:20:00,12:50:00,Completed,2500,6500,91,0,Jet A,Economy,-,2.2,5500.0,120,60,190,750,500,7000.0,8015.0,,,,
434,Lufthansa,Boeing 747-8,FRA,GRU,365,2965.0,660,5930,2025-09-12,International,Capt. Hans Weber,419750,16:15:00,06:15+1,Completed,41000,106600,89,0,Jet A-1,Business,-,2.2,90200.00000000001,120,1320,520,1600,500,94140.00000000001,325610.0,,,,
435,Volaris,Airbus A320neo,MEX,MTY,180,150.5,60,430,2025-09-13,Domestic,Capt. Luis HernÃ¡ndez,27900,14:30:00,15:30:00,Completed,3800,9880,94,0,Jet A,Economy,-,2.2,8360.0,120,120,190,750,500,9920.0,17980.0,,,,
436,Qantas,Boeing 787-9,BNE,SIN,242,1312.5,420,3750,2025-09-14,International,Capt. Olivia Brown,237160,08:15:00,15:15:00,Completed,29000,75400,85,0,Jet A-1,Premium Economy,-,2.2,63800.00000000001,120,840,250,1600,500,66990.0,170170.0,,,,
437,American Airlines,Boeing 777-200,DFW,CDG,298,2505.0,540,5010,2025-09-15,International,Capt. Robert Taylor,321840,19:30:00,10:30+1,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,234540.0,,,,
438,AirAsia,Airbus A320-200,DPS,SIN,186,227.49999999999997,90,650,2025-09-16,International,Capt. Priya Singh,14880,17:45:00,19:15:00,Completed,5500,14300,93,0,Jet A,Economy,-,2.2,12100.000000000002,120,180,190,1600,500,14570.000000000002,309.9999999999982,,,,
439,United Airlines,Boeing 787-9,ORD,HNL,248,1323.0,540,3780,2025-09-17,Domestic,Capt. Emily Chen,190960,07:45:00,16:45:00,Completed,30000,78000,90,0,Jet A-1,Premium Economy,-,2.2,66000.0,120,1080,250,750,500,68580.0,122380.0,,,,
440,Singapore Airlines,Airbus A350-900,SIN,SYD,301,2940.0,480,3920,2025-09-18,International,Capt. Rajesh Kumar,376250,20:45:00,06:45+1,Completed,31000,80600,92,0,Jet A-1,First Class,-,2.2,68200.0,120,960,900,1600,500,72160.0,304090.0,,,,
441,Alaska Airlines,Boeing 737-800,SEA,BOI,148,140.0,60,400,2025-09-19,Domestic,Capt. Laura Wilson,19980,11:35:00,12:35:00,Completed,3200,8320,84,0,Jet A,Economy,-,2.2,7040.000000000001,120,120,190,750,500,8600.0,11380.0,,,,
442,Japan Airlines,Boeing 787-8,NRT,HKG,242,1050.0,300,2100,2025-09-20,International,Capt. Kenji Yamamoto,227480,12:50:00,17:50:00,Completed,22000,57200,88,0,Jet A-1,Business,-,2.2,48400.00000000001,120,600,520,1600,500,51620.00000000001,175860.0,,,,
443,Spirit Airlines,Airbus A321-200,LAS,PHX,235,161.0,70,460,2025-09-21,Domestic,Capt. Brian Davis,22325,14:45:00,15:55:00,Completed,5000,13000,89,0,Jet A,Economy,-,2.2,11000.0,120,140,190,750,500,12580.0,9745.0,,,,
444,Turkish Airlines,Boeing 777-300ER,IST,ORD,342,2550.0,600,5100,2025-09-22,International,Capt. Mehmet YÄ±ldÄ±z,393300,13:30:00,23:30:00,Completed,37000,96200,91,0,Jet A-1,Business,-,2.2,81400.0,120,1200,520,1600,500,85220.0,308080.0,,,,
445,Air France,Airbus A350-900,CDG,JFK,301,1270.5,420,3630,2025-09-23,International,Capt. Sophie Laurent,316050,16:00:00,22:00:00,Delayed,32000,83200,90,18,Jet A-1,Premium Economy,Weather,2.2,70400.0,120,840,250,1600,500,73590.0,242460.0,,,,
446,JetBlue,Airbus A220-300,JFK,DCA,120,115.49999999999999,50,330,2025-09-24,Domestic,Capt. Daniel White,14400,08:50:00,09:40:00,Completed,2500,6500,82,0,Jet A,Economy,-,2.2,5500.0,120,100,190,750,500,7040.0,7360.0,,,,
447,Cathay Pacific,Airbus A350-1000,HKG,SFO,369,5182.5,840,6910,2025-09-25,International,Capt. Emily Wong,498150,10:30:00,01:30+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,407670.0,,,,
448,Frontier Airlines,Airbus A319-100,DEN,ATL,156,336.0,120,960,2025-09-26,Domestic,Capt. Kevin Taylor,15288,17:45:00,19:45:00,Completed,7500,19500,87,0,Jet A,Economy,-,2.2,16500.0,120,240,190,750,500,18180.0,-2892.0,,,,
449,Qatar Airways,Boeing 777-300ER,DOH,JFK,312,4140.0,660,5520,2025-09-27,International,Capt. Ali Al-Mansoori,483600,02:30:00,14:30:00,Completed,43000,111800,93,0,Jet A-1,First Class,-,2.2,94600.00000000001,120,1320,900,1600,500,98920.00000000001,384680.0,,,,
450,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-09-28,International,Capt. Juan RodrÃ­guez,59160,09:50:00,12:50:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,24550.0,,,,
451,Air Canada,Airbus A330-300,YUL,YYZ,124,105.0,60,300,2025-09-29,Domestic,Capt. Sarah Johnson,22320,12:00:00,13:00:00,Completed,4500,11700,81,0,Jet A,Economy,-,2.2,9900.0,120,120,190,750,500,11460.0,10860.0,,,,
452,Ryanair,Boeing 737-800,STN,DUB,189,164.5,90,470,2025-09-30,International,Capt. Sean Murphy,11718,19:50:00,21:20:00,Completed,7500,19500,93,0,Jet A,Economy,-,2.2,16500.0,120,180,190,1600,500,18970.0,-7252.0,,,,
453,ANA,Boeing 787-9,HND,LAX,248,2735.0,780,5470,2025-10-01,International,Capt. Kenji Sato,285200,14:30:00,06:30+1,Completed,29000,75400,89,0,Jet A-1,Business,-,2.2,63800.00000000001,120,1560,520,1600,500,67980.0,217220.0,,,,
454,Hawaiian Airlines,Airbus A330-200,HNL,LAX,278,892.5,300,2550,2025-10-02,Domestic,Capt. Leilani Koa,112590,09:00:00,14:00:00,Completed,19500,50700,85,0,Jet A,Premium Economy,-,2.2,42900.0,120,600,250,750,500,45000.0,67590.0,,,,
455,KLM,Boeing 787-10,AMS,SFO,293,2685.0,660,5370,2025-10-03,International,Capt. Pieter Van Dijk,366250,13:00:00,03:00+1,Completed,34000,88400,91,0,Jet A-1,Business,-,2.2,74800.0,120,1320,520,1600,500,78740.0,287510.0,,,,
456,Azul Brazilian Airlines,Embraer E195,CNF,GRU,124,140.0,70,400,2025-10-04,Domestic,Capt. Thiago Silva,21700,16:00:00,17:10:00,Completed,4500,11700,82,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,10220.0,,,,
457,Etihad Airways,Airbus A380-800,AUH,CDG,489,2550.0,420,3400,2025-10-05,International,Capt. Omar Khan,733500,04:30:00,12:30:00,Cancelled,48000,124800,95,-,Jet A-1,First Class,Technical Issues,2.2,105600.00000000001,120,840,900,1600,500,109440.00000000001,624060.0,,,,
458,Allegiant Air,Airbus A320-200,SFB,PIE,186,59.49999999999999,45,170,2025-10-06,Domestic,Capt. Lisa Brown,15252,17:00:00,17:45:00,Completed,3500,9100,94,0,Jet A,Economy,-,2.2,7700.000000000001,120,90,190,750,500,9230.0,6022.0,,,,
459,Virgin Atlantic,Airbus A350-1000,LHR,LAX,301,4080.0,660,5440,2025-10-07,International,Capt. Emma Wilson,421400,19:30:00,08:30+1,Completed,35000,91000,90,0,Jet A-1,First Class,-,2.2,77000.0,120,1320,900,1600,500,81320.0,340080.0,,,,
460,IndiGo,Airbus A320neo,DEL,BOM,180,402.5,90,1150,2025-10-08,Domestic,Capt. Arjun Patel,14760,07:50:00,09:20:00,Delayed,6500,16900,93,20,Jet A,Economy,Air Traffic Control,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1160.0000000000018,,,,
461,Delta Air Lines,Boeing 737-900,ATL,MCO,178,224.0,90,640,2025-10-09,Domestic,Capt. Robert Harris,35600,08:15:00,09:45:00,Completed,5800,15080,88,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,21220.0,,,,
462,Emirates,Airbus A380-800,DXB,JFK,489,8265.0,780,11020,2025-10-10,International,Capt. Aisha Al-Mansoori,709050,23:00:00,12:00+1,Completed,52000,135200,95,0,Jet A-1,First Class,-,2.2,114400.00000000001,120,1560,900,1600,500,118960.00000000001,590090.0,,,,
463,Southwest Airlines,Boeing 737 MAX 8,DAL,HOU,143,136.5,45,390,2025-10-11,Domestic,Capt. James Wilson,17446,09:10:00,09:55:00,Completed,3200,8320,88,0,Jet A,Economy,-,2.2,7040.000000000001,120,90,190,750,500,8570.0,8876.0,,,,
464,Lufthansa,Boeing 747-8,FRA,ORD,365,3380.0,540,6760,2025-10-12,International,Capt. Klaus Fischer,361350,14:25:00,23:25:00,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,274050.0,,,,
465,Volaris,Airbus A320neo,MEX,CUN,180,280.0,90,800,2025-10-13,Domestic,Capt. Carlos MÃ©ndez,34200,13:15:00,14:45:00,Completed,7800,20280,94,0,Jet A,Economy,-,2.2,17160.0,120,180,190,750,500,18780.0,15420.0,,,,
466,Qantas,Boeing 787-9,SYD,LAX,285,2618.0,840,7480,2025-10-14,International,Capt. Olivia Smith,342000,09:30:00,22:30:00,Completed,31000,80600,91,0,Jet A-1,Premium Economy,-,2.2,68200.0,120,1680,250,1600,500,72230.0,269770.0,,,,
467,American Airlines,Boeing 777-300ER,DFW,HNL,312,1890.0,540,3780,2025-10-15,Domestic,Capt. David Lee,227760,10:50:00,19:50:00,Completed,34000,88400,89,0,Jet A-1,Business,-,2.2,74800.0,120,1080,520,750,500,77650.0,150110.0,,,,
468,AirAsia,Airbus A320-200,KUL,SIN,186,115.49999999999999,45,330,2025-10-16,International,Capt. Wei Chen,15438,16:50:00,17:35:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,90,190,1600,500,12280.0,3158.0,,,,
469,United Airlines,Boeing 767-400,ORD,MIA,214,665.0,180,1900,2025-10-17,Domestic,Capt. Emily Johnson,65270,14:10:00,17:10:00,Completed,16500,42900,82,0,Jet A,Economy,-,2.2,36300.0,120,360,190,750,500,38100.0,27170.0,,,,
470,Singapore Airlines,Airbus A350-900,SIN,LHR,301,5070.0,780,6760,2025-10-18,International,Capt. Raj Patel,421400,00:05:00,07:05+1,Completed,29000,75400,90,0,Jet A-1,First Class,-,2.2,63800.00000000001,120,1560,900,1600,500,68360.0,353040.0,,,,
471,Alaska Airlines,Boeing 737-900,SEA,ANC,178,503.99999999999994,180,1440,2025-10-19,Domestic,Capt. Laura Adams,37380,06:20:00,09:20:00,Completed,9500,24700,81,0,Jet A,Economy,-,2.2,20900.0,120,360,190,750,500,22700.0,14680.0,,,,
472,Japan Airlines,Boeing 787-8,HND,SYD,242,1704.5,840,4870,2025-10-20,International,Capt. Hiroshi Tanaka,271040,18:45:00,08:45+1,Completed,26000,67600,85,0,Jet A-1,Premium Economy,-,2.2,57200.00000000001,120,1680,250,1600,500,61230.00000000001,209810.0,,,,
473,Spirit Airlines,Airbus A321-200,FTL,ATL,235,336.0,90,960,2025-10-21,Domestic,Capt. Brian Miller,21620,11:45:00,13:15:00,Completed,11000,28600,89,0,Jet A,Economy,-,2.2,24200.000000000004,120,180,190,750,500,25820.000000000004,-4200.000000000004,,,,
474,Turkish Airlines,Boeing 777-300,IST,JFK,342,2505.0,540,5010,2025-10-22,International,Capt. Mehmet YÄ±lmaz,314640,16:05:00,01:05+1,Completed,36000,93600,88,0,Jet A-1,Business,-,2.2,79200.0,120,1080,520,1600,500,82900.0,231740.0,,,,
475,Air France,Airbus A330-200,CDG,DTW,267,1347.5,480,3850,2025-10-23,International,Capt. Sophie Laurent,186900,12:40:00,19:40:00,Completed,28000,72800,84,0,Jet A-1,Premium Economy,-,2.2,61600.00000000001,120,960,250,1600,500,64910.00000000001,121990.0,,,,
476,JetBlue,Airbus A220-300,JFK,BOS,120,105.0,40,300,2025-10-24,Domestic,Capt. Daniel White,15600,07:50:00,08:30:00,Completed,2800,7280,83,0,Jet A,Economy,-,2.2,6160.000000000001,120,80,190,750,500,7680.000000000001,7919.999999999999,,,,
477,Cathay Pacific,Airbus A350-1000,HKG,LAX,369,5182.5,840,6910,2025-10-25,International,Capt. Emily Wong,516600,10:50:00,01:50+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,426120.0,,,,
478,Frontier Airlines,Airbus A319-100,DEN,PHX,156,210.0,90,600,2025-10-26,Domestic,Capt. Kevin Taylor,14976,15:00:00,16:30:00,Completed,6500,16900,87,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-944.0000000000018,,,,
479,Qatar Airways,Boeing 777-200LR,DOH,IAH,312,5400.0,840,7200,2025-10-27,International,Capt. Ali Al-Hashimi,461760,03:00:00,16:00:00,Completed,42000,109200,91,0,Jet A-1,First Class,-,2.2,92400.00000000001,120,1680,900,1600,500,97080.00000000001,364680.0,,,,
480,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-10-28,International,Capt. Juan RodrÃ­guez,60900,10:00:00,13:00:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,26290.0,,,,
